"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"1","5","""schwarz""","false","0","5","false","0.010908162781166526","""showerhead""","0.23876892500512026","0.38024783340058754","0.6487636003937213","5","1045.92"
"1","15","""schwarz""","true","0","5","false","0.010908162781166526","""showerhead""","0.23876892500512026","0.38024783340058754","0.6487636003937213","5","11.812000000000001"
"1","50","""schwarz""","true","0","5","false","0.010908162781166526","""showerhead""","0.18979647619170978","0.38024783340058754","0.6562949683956263","5","10.264000000000003"
"1","150","""schwarz""","true","0","5","false","0.010908162781166526","""showerhead""","0.01984340097859258","0.38024783340058754","0.8657392646677825","5","9.712000000000002"
"1","155","""schwarz""","true","0","5","false","0.010908162781166526","""showerhead""","0.04432957493609968","0.38024783340058754","0.8916230888189195","5","8.164"
"2","5","""schwarz""","true","0","5","false","0.023718434907353352","""showerhead""","0.8047810344448523","0.7767091264865454","0.8633737751024817","5","20.880000000000003"
"2","10","""schwarz""","true","0","5","false","0.02629935233319176","""showerhead""","0.8047810344448523","0.7767091264865454","0.8633737751024817","5","16.78"
"2","15","""schwarz""","true","0","5","false","0.02629935233319176","""showerhead""","0.8047810344448523","0.7364234730195757","0.8633737751024817","5","16.480000000000004"
"2","30","""schwarz""","true","0","5","false","0.02629935233319176","""showerhead""","0.7264791405722247","0.7364234730195757","0.8874407835154908","5","12.964"
"2","180","""schwarz""","true","0","5","false","0.02629935233319176","""showerhead""","0.7264791405722247","0.7301641126814946","0.8392327021374015","5","12.68"
"2","230","""schwarz""","true","0","5","false","0.02849509223664335","""showerhead""","0.7264791405722247","0.7301641126814946","1","5","11.963999999999999"
"2","270","""schwarz""","true","0","5","false","0.02849509223664335","""showerhead""","0.7313957066271322","0.7414703223059881","1","5","11.512"
"3","5","""schwarz""","true","0","5","false","0.03268294255595638","""showerhead""","0.9998056011202483","0.13433923020138605","0.8683305741650913","5","51.120000000000005"
"3","40","""schwarz""","true","0","5","false","0.03268294255595638","""showerhead""","0.9998056011202483","0.2655615795375843","0.8683305741650913","5","49.32"
"3","45","""schwarz""","true","0","5","false","0.03268294255595638","""showerhead""","0.9998056011202483","0.2655615795375843","0.9499474169603298","5","41.42"
"3","60","""schwarz""","true","0","5","false","0.03268294255595638","""showerhead""","0.9998056011202483","0.2655615795375843","0.9664593675545445","5","35.92"
"3","100","""schwarz""","true","0","5","false","0.03268294255595638","""showerhead""","0.9998056011202483","0.3618552737754702","0.9664593675545445","5","34.44"
"3","105","""schwarz""","true","0","5","false","0.03298382737766893","""showerhead""","0.9998056011202483","0.3618552737754702","0.9664593675545445","5","33.34"
"3","135","""schwarz""","true","0","5","false","0.03298382737766893","""showerhead""","0.9998056011202483","0.43246519088846186","1","5","27.112000000000002"
"3","160","""schwarz""","true","0","5","false","0.025509871639690367","""showerhead""","0.9998056011202483","0.43246519088846186","1","5","20.612000000000002"
"3","170","""schwarz""","true","0","5","false","0.025509871639690367","""showerhead""","0.882448247162211","0.47317337276372523","1","5","19.512"
"3","240","""schwarz""","true","0","5","false","0.025491114255190576","""showerhead""","0.8064008434577825","0.47317337276372523","1","5","18.712"
"3","265","""schwarz""","true","0","5","false","0.016007174936698922","""showerhead""","0.8064008434577825","0.47317337276372523","1","5","18.163999999999998"
"3","270","""schwarz""","true","0","5","false","0.016007174936698922","""showerhead""","0.8064008434577825","0.24921560767699139","1","5","17.364"
"3","280","""schwarz""","true","0","5","false","0.012996020321612102","""showerhead""","0.6591927034738378","0.24921560767699139","1","5","16.464000000000002"
"3","285","""schwarz""","true","0","5","false","0.012996020321612102","""showerhead""","0.7414331007547612","0.24921560767699139","1","5","16.311999999999998"
"4","5","""schwarz""","true","0","5","false","0.014433149174855124","""showerhead""","0.9638375463344058","0.2568158978439956","0.04699404049348532","5","24.212000000000007"
"4","40","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.9638375463344058","0.2568158978439956","0.04699404049348532","5","23.912000000000003"
"4","45","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","1","0.2568158978439956","0.04699404049348532","5","22.912000000000006"
"4","50","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","1","0.29610070923460463","0.04699404049348532","5","21.964000000000002"
"4","125","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","1","0.35958889502956404","0.12814761736235056","5","21.464000000000006"
"4","135","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.8234263185059343","0.35958889502956404","0.12814761736235056","5","20.48"
"4","140","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.8234263185059343","0.35958889502956404","0.24433358033708064","5","19.564"
