"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","policy*","fitness","num-replicates","best-fitness-so-far"
"1","5","""schwarz""","false","0","5","false","0.015544635516265554","""showerhead""","0.9018883095757718","0.9624427363721646","0.043828933024603334","""off""","1025.564","5","1025.564"
"1","10","""schwarz""","false","0","5","false","0.015544635516265554","""showerhead""","0.7143826523118947","1","0.043828933024603334","""off""","1022.02","5","1022.02"
"1","15","""schwarz""","false","0","5","false","0.015544635516265554","""showerhead""","0.7143826523118947","1","0.12591627891027074","""off""","1022.14","5","1022.02"
"1","20","""schwarz""","false","0","5","false","0.015544635516265554","""showerhead""","0.7143826523118947","1","0.1668547506925464","""off""","1020.94","5","1020.94"
"1","25","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","0.7316484909641703","1","0.1668547506925464","""off""","1018.94","5","1018.94"
"1","30","""schwarz""","false","0","5","false","0.013175496301506023","""showerhead""","0.7316484909641703","1","0.1668547506925464","""off""","1020.692","5","1018.94"
"1","35","""schwarz""","false","0","5","false","0.010564766230390325","""showerhead""","0.7316484909641703","1","0.1668547506925464","""off""","1022.98","5","1018.94"
"1","40","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","1","1","0.3187403513614917","""off""","1034.98","5","1018.94"
"1","45","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","0.7350332237596281","1","0.1668547506925464","""off""","1021.84","5","1018.94"
"1","50","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","0.7316484909641703","1","0.4621277223367816","""off""","1016.392","5","1016.392"
"1","55","""schwarz""","false","0","5","false","0.013833433796652793","""showerhead""","0.7316484909641703","1","0.4621277223367816","""off""","1017.808","5","1016.392"
"1","60","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","0.7316484909641703","1","0.44223982983978427","""off""","1016.692","5","1016.392"
"1","65","""schwarz""","false","0","5","false","0.015556079074969791","""showerhead""","0.7316484909641703","0.7910412842140337","0.44223982983978427","""off""","1032.42","5","1016.392"
"1","70","""schwarz""","false","0","5","false","0.01662679150443379","""showerhead""","0.7316484909641703","1","0.44223982983978427","""off""","1016.44","5","1016.392"
"1","75","""schwarz""","false","0","5","false","0.01662679150443379","""showerhead""","0.7316484909641703","1","0.33369559120565717","""off""","1016.392","5","1016.392"
"1","80","""schwarz""","false","0","5","false","0.0162394971982307","""showerhead""","0.7544629904636879","1","0.33369559120565717","""off""","1018.24","5","1016.392"
"1","85","""schwarz""","false","0","5","false","0.01662679150443379","""showerhead""","0.7316484909641703","1","0.345738482096831","""off""","1017.592","5","1016.392"
"1","90","""schwarz""","false","0","5","false","0.01662679150443379","""showerhead""","0.7316484909641703","1","0.4045623226412891","""off""","1015.74","5","1015.74"
"1","95","""schwarz""","false","0","5","false","0.010814495654482281","""showerhead""","0.7316484909641703","1","0.4045623226412891","""off""","1020.08","5","1015.74"
