"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","fitness","num-replicates","best-fitness-so-far"
"1","155","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","29.192","5","29.192"
"1","160","1000","""suslab""","""schwarz-alternative""","true","1","false","0.037472041089090996","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1028.828","5","29.192"
"1","165","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03168993268112264","""showerhead""","0.7009703541066482","0.8208970202660044","0.8000900849317543","1028.727","5","29.192"
"1","170","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.7382957673177536","0.8208970202660044","0.8622342121174307","1028.599","5","29.192"
"1","175","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.681966040356925","0.8622342121174307","1029.12","5","29.192"
"1","180","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038782363052708366","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1028.537","5","29.192"
"1","185","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8076395988881022","0.8622342121174307","1028.5","5","29.192"
"1","190","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6231850200791624","0.9514467644172357","0.8622342121174307","1028.245","5","29.192"
"1","195","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8791326211899098","0.8622342121174307","1028.491","5","29.192"
"1","200","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6216160695255767","0.8208970202660044","0.8622342121174307","1028.214","5","29.192"
"1","205","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.43464520623672753","0.8208970202660044","0.8622342121174307","1028.578","5","29.192"
"1","210","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03678825287306617","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1029.041","5","29.192"
"1","215","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8213200160811706","0.8622342121174307","1028.674","5","29.192"
"1","220","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030545243140399234","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1028.332","5","29.192"
"1","225","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.7723554871744182","1028.856","5","29.192"
"1","230","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03965339307763718","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1027.903","5","29.192"
"1","235","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.8123412588348786","1028.504","5","29.192"
"1","240","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.9414379234944482","0.8622342121174307","1028.042","5","29.192"
"1","245","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.9149129047387606","1028.396","5","29.192"
"1","250","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.7473554701583883","0.8622342121174307","1028.547","5","29.192"
"1","255","1000","""suslab""","""schwarz-alternative""","true","1","false","0.04","""showerhead""","0.6219528292718096","0.8208970202660044","0.8622342121174307","1028.577","5","29.192"
"1","260","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.7993683902520324","29.311000000000003","5","29.192"
"1","265","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5909167863745381","0.8208970202660044","0.7993683902520324","1028.592","5","29.192"
"1","270","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.7911984313373697","1028.698","5","29.192"
"1","275","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.8208970202660044","0.8144967284144135","1028.477","5","29.192"
"1","280","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.6219528292718096","0.6429891166543771","0.7993683902520324","1028.701","5","29.192"
"1","285","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.8533946817217075","0.7993683902520324","28.467999999999996","5","28.467999999999996"
"1","290","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.8780964389105212","0.7993683902520324","1028.222","5","28.467999999999996"
"1","295","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.8336969119518645","0.7993683902520324","28.456","5","28.456"
"1","300","1000","""suslab""","""schwarz-alternative""","true","1","false","0.038221139075966734","""showerhead""","0.5792699578269153","0.6890452880266915","0.7993683902520324","1027.823","5","28.456"
"2","5","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5594912491678724","0.6373411283067246","0.8985096932913088","1028.345","5","1028.345"
"2","10","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5594912491678724","0.6032118236663092","0.8985096932913088","1028.853","5","1028.345"
"2","15","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5594912491678724","0.6032118236663092","0.8287057684656023","1028.307","5","1028.307"
"2","20","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.6762815841093629","0.6032118236663092","0.8287057684656023","1029.021","5","1028.307"
"2","25","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.6032118236663092","0.8287057684656023","28.988999999999997","5","28.988999999999997"
"2","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.6032118236663092","0.7345569508439656","1028.472","5","28.988999999999997"
"2","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.7007980720112446","0.8287057684656023","1028.751","5","28.988999999999997"
"2","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.4598578917965973","0.8287057684656023","1028.871","5","28.988999999999997"
"2","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.42785790102224325","0.6032118236663092","0.8287057684656023","1027.594","5","28.988999999999997"
"2","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.5648005512644597","0.6032118236663092","0.8287057684656023","1028.063","5","28.988999999999997"
"2","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.46918161070705466","0.6032118236663092","1","1028.646","5","28.988999999999997"
"2","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.030955599186872802","""showerhead""","0.3925561697235754","0.6032118236663092","0.8287057684656023","1028.907","5","28.988999999999997"
