"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","fitness","num-replicates","best-fitness-so-far"
"1","5","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.8079863179625693","1028.322","5","1028.322"
"1","10","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.7178055463149521","0.7031604711916946","1027.952","5","1027.952"
"1","15","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.6827894716215573","0.7031604711916946","1028.09","5","1027.952"
"1","20","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7031604711916946","1027.938","5","1027.938"
"1","25","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7043579324977686","0.5563239315579005","0.7513888821320212","1028.253","5","1027.938"
"1","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","1028.294","5","1027.938"
"1","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","1028.622","5","1027.938"
"1","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","1027.187","5","1027.187"
"1","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","1028.114","5","1027.187"
"1","50","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","1028.516","5","1027.187"
"1","55","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","1028.201","5","1027.187"
"1","60","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","1027.334","5","1027.187"
"1","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","1027.193","5","1027.187"
"1","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","1027.627","5","1027.187"
"1","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","1028.019","5","1027.187"
"1","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","1027.721","5","1027.187"
"1","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","1026.414","5","1026.414"
"1","90","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","1028.002","5","1026.414"
"1","95","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","1026.422","5","1026.414"
"1","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","1026.388","5","1026.388"
"1","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","1025.566","5","1025.566"
"1","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","1026.283","5","1025.566"
"1","115","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","1026.217","5","1025.566"
"1","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","1025.771","5","1025.566"
