"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","30","30","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""-1907847697""","1029.4279999999999","1029.4279999999999","1029.4279999999999","0","1029.4279999999999"
"1","31","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-1443855782""","1028.467","1028.467","1028.467","0","1028.467"
"1","32","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-124280411""","1028.263","1028.263","1028.263","0","1028.263"
"1","33","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""1605934055""","1027.892","1027.892","1027.892","0","1027.892"
"1","34","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""-438065690""","1027.514","1027.514","1027.514","0","1027.514"
"1","35","35","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4686728212873942","0.9518227110585417","0.7754597728174841","""778705761""","1028.922","1028.922","1028.922","0","1028.922"
"1","36","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""1587282627""","1028.681","1028.681","1028.681","0","1028.681"
"1","37","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""-1989122236""","1028.544","1028.544","1028.544","0","1028.544"
"1","38","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""-1004939450""","1028.089","1028.089","1028.089","0","1028.089"
"1","39","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""2075829236""","1028.47","1028.47","1028.47","0","1028.47"
"1","40","40","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.9653647851200823","0.7754597728174841","""-548843362""","1027.892","1027.892","1027.892","0","1027.892"
"1","41","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.8818076980150866","0.7754597728174841","""981128123""","1029.108","1029.108","1029.108","0","1029.108"
"1","42","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.8818076980150866","0.7754597728174841","""1891956926""","27.618000000000002","27.618000000000002","27.618000000000002","0","27.618000000000002"
"1","43","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.8818076980150866","0.7754597728174841","""1077255005""","1028.442","1028.442","1028.442","0","1028.442"
"1","44","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.8818076980150866","0.7754597728174841","""-61590366""","1028.599","1028.599","1028.599","0","1028.599"
"1","45","45","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.49758977473232274","0.8818076980150866","0.7754597728174841","""-968310396""","1029.143","1029.143","1029.143","0","1029.143"
"1","46","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4440907045893724","0.9518227110585417","0.7754597728174841","""-1811207050""","1028.282","1028.282","1028.282","0","1028.282"
"1","47","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4440907045893724","0.9518227110585417","0.7754597728174841","""-1878870301""","28.669","28.669","28.669","0","28.669"
"1","48","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4440907045893724","0.9518227110585417","0.7754597728174841","""-1431517519""","1028.332","1028.332","1028.332","0","1028.332"
"1","49","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4440907045893724","0.9518227110585417","0.7754597728174841","""-1095514975""","1028.61","1028.61","1028.61","0","1028.61"
