"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","26","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-846315459""","1027.938","1027.938","1027.938","0","1027.938"
"1","27","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-1101035172""","1028.653","1028.653","1028.653","0","1028.653"
"1","28","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-97634782""","1028.294","1028.294","1028.294","0","1028.294"
"1","29","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-254880014""","1027.754","1027.754","1027.754","0","1027.754"
"1","30","30","1000","""suslab""","""schwarz""","true","1","false","0.004531285207003792","""showerhead""","0.7252987911904897","0.5563239315579005","0.7031604711916946","""-1435212729""","1028.88","1028.88","1028.88","0","1028.88"
"1","31","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1910728867""","1028.331","1028.331","1028.331","0","1028.331"
"1","32","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1354457981""","1028.622","1028.622","1028.622","0","1028.622"
"1","33","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""2098330671""","27.114","27.114","27.114","0","27.114"
"1","34","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-385286464""","1028.853","1028.853","1028.853","0","1028.853"
"1","35","35","1000","""suslab""","""schwarz""","true","1","false","0.004","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-183589745""","1028.649","1028.649","1028.649","0","1028.649"
"1","36","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-177876876""","1028.006","1028.006","1028.006","0","1028.006"
"1","37","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-54458251""","1027.187","1027.187","1027.187","0","1027.187"
"1","38","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1206260627""","1026.809","1026.809","1026.809","0","1026.809"
"1","39","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""459652695""","1028.71","1028.71","1028.71","0","1028.71"
"1","40","40","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1717985003""","1026.725","1026.725","1026.725","0","1026.725"
"1","41","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","""-65240854""","1027.41","1027.41","1027.41","0","1027.41"
"1","42","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","""-1211736549""","1028.114","1028.114","1028.114","0","1028.114"
"1","43","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","""1748847005""","1028.9470000000001","1028.9470000000001","1028.9470000000001","0","1028.9470000000001"
"1","44","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","""-1927807822""","1028.184","1028.184","1028.184","0","1028.184"
"1","45","45","1000","""suslab""","""schwarz""","true","1","false","0.005256412992311145","""showerhead""","0.7043579324977686","0.6112920005771556","0.6776030388020344","""-710027824""","1026.863","1026.863","1026.863","0","1026.863"
"1","46","55","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1535590461""","1028.516","1028.516","1028.516","0","1028.516"
"1","47","55","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1549272898""","1026.799","1026.799","1026.799","0","1026.799"
"1","48","55","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1043827887""","1028.793","1028.793","1028.793","0","1028.793"
"1","49","55","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1885553901""","1026.501","1026.501","1026.501","0","1026.501"
"1","50","55","1000","""suslab""","""schwarz""","true","1","false","0.0076495475317208605","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1257593278""","1028.82","1028.82","1028.82","0","1028.82"
"1","51","60","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""825031742""","1027.931","1027.931","1027.931","0","1027.931"
"1","52","60","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""1262308809""","1028.201","1028.201","1028.201","0","1028.201"
"1","53","60","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-220531574""","1028.475","1028.475","1028.475","0","1028.475"
"1","54","60","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1794139340""","1028.391","1028.391","1028.391","0","1028.391"
"1","55","60","1000","""suslab""","""schwarz""","true","1","false","0.006264801223248184","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-1026472940""","1028.02","1028.02","1028.02","0","1028.02"
"1","56","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-826240352""","1026.325","1026.325","1026.325","0","1026.325"
"1","57","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-960383172""","1027.334","1027.334","1027.334","0","1027.334"
"1","58","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""-295538990""","1027.633","1027.633","1027.633","0","1027.633"
"1","59","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""906044935""","1027.857","1027.857","1027.857","0","1027.857"
"1","60","65","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.5563239315579005","0.6776030388020344","""2134983086""","1026.073","1026.073","1026.073","0","1026.073"
"1","61","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","""-1766345683""","1028.327","1028.327","1028.327","0","1028.327"
"1","62","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","""1420480756""","1026.845","1026.845","1026.845","0","1026.845"
"1","63","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","""424025776""","1027.193","1027.193","1027.193","0","1027.193"
"1","64","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","""-441751852""","1026.9279999999999","1026.9279999999999","1026.9279999999999","0","1026.9279999999999"
"1","65","70","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6164891955100055","0.6776030388020344","""-1102032306""","1027.503","1027.503","1027.503","0","1027.503"
"1","66","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","""948154947""","1028.367","1028.367","1028.367","0","1028.367"
"1","67","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","""-462589958""","1027.261","1027.261","1027.261","0","1027.261"
"1","68","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","""959612246""","1027.419","1027.419","1027.419","0","1027.419"
"1","69","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","""-343339768""","1027.627","1027.627","1027.627","0","1027.627"
"1","70","75","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6125877499537166","0.6776030388020344","""694835672""","1028.083","1028.083","1028.083","0","1028.083"
"1","71","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","""-914942313""","1029.352","1029.352","1029.352","0","1029.352"
"1","72","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","""-770548694""","1027.728","1027.728","1027.728","0","1027.728"
"1","73","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","""-2063195989""","1028.959","1028.959","1028.959","0","1028.959"
"1","74","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","""403667514""","1028.019","1028.019","1028.019","0","1028.019"
"1","75","80","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.7043579324977686","0.6945524691570268","0.6776030388020344","""-622683491""","1027.253","1027.253","1027.253","0","1027.253"
"1","76","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","""647716271""","1028.255","1028.255","1028.255","0","1028.255"
"1","77","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","""1468920385""","1026.741","1026.741","1026.741","0","1026.741"
"1","78","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","""-1432207044""","1024.472","1024.472","1024.472","0","1024.472"
"1","79","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","""1279785269""","1029.566","1029.566","1029.566","0","1029.566"
"1","80","85","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.6945524691570268","0.6776030388020344","""-175587648""","1027.721","1027.721","1027.721","0","1027.721"
"1","81","90","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""1255241683""","25.456","25.456","25.456","0","25.456"
"1","82","90","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-1823667037""","1026.414","1026.414","1026.414","0","1026.414"
"1","83","90","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-1869474680""","29.081999999999997","29.081999999999997","29.081999999999997","0","29.081999999999997"
"1","84","90","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""508165627""","1028.305","1028.305","1028.305","0","1028.305"
